Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
P73560,gcvH,No,ATPbroad_T,-0.4565912751547111,0.3316560703361689,-1.3767010948779168,6,0.21776839547861737,0.4126614536571816,NA,0,0
P80505,gap2,No,ATPbroad_T,0.2979984508063671,0.08993611630494046,3.313445844114098,6,0.0161353838623135,0.12118463124562728,NA,0,0
P73312,rpmC,No,ATPbroad_T,0.5805023275797002,0.22006717349384824,2.637841520675175,6,0.038651877751086694,0.19996130812526172,NA,0,0
P37101,prk,No,ATPbroad_T,0.5021313230527654,0.1008881680868029,4.977108144343924,6,0.002508965660803053,0.04809736593100878,NA,0,0
Q01951,apcA,No,ATPbroad_T,-0.6374870056432205,0.32883514739511577,-1.938621861723438,6,0.10063400205191364,0.3027476700385301,NA,0,0
P73654,NA,No,ATPbroad_T,-1.466119645864873,0.7435975272869693,-1.9716575056590633,6,0.09612910500137595,0.2933030078735164,NA,0,0
P74227,tuf,No,ATPbroad_T,-0.18273283041795382,0.08863814844528001,-2.0615596514943264,6,0.08487304031316878,0.2782486028038202,NA,0,0
P73282,tktA,No,ATPbroad_T,0.01862020683773418,0.10498033470412596,0.17736852230670555,6,0.8650551902077133,0.9187625381263027,NA,0,0
P73411,zwf,No,ATPbroad_T,0.08098525807766573,0.08390003464266481,0.9652589349049343,6,0.371692245661952,0.5452364051131541,NA,0,0
P74720,NA,No,ATPbroad_T,0.05692328236238627,0.07454084565245087,0.7636522213310128,6,0.47402269850608203,0.6302528567993289,NA,0,0
P22358,dnaK2,No,ATPbroad_T,0.10373589128678869,0.12332924295399676,0.8411297175113884,6,0.4325128770190707,0.5970679047795397,NA,0,0
P73128,sqdB,No,ATPbroad_T,0.16010289505316588,0.09812063068118668,1.6316945166544214,6,0.15386454844641806,0.35309941246036963,NA,0,0
P55038,gltS,No,ATPbroad_T,0.03252435461833049,0.04018867305870774,0.8092915775253094,6,0.4492415773589524,0.6125811035641702,NA,0,0
P73546,glgP,No,ATPbroad_T,0.02638435314689812,0.044552482006741806,0.5922083789384746,6,0.5753326384330926,0.7210119646174346,NA,0,0
P73458,prc,No,ATPbroad_T,-0.09698506342012857,0.07647322136744043,-1.2682225449106208,6,0.2517040199504845,0.43555321389018475,NA,0,0
P73825,phaA,No,ATPbroad_T,-0.2029429158064569,0.17194289755008332,-1.1802925197729899,6,0.282551802922421,0.46432421744520636,NA,0,0
Q55629,NA,No,ATPbroad_T,0.07359905132979466,0.05768962597348364,1.275776191782273,6,0.2491969139867507,0.433652382152218,NA,0,0
P73129,NA,No,ATPbroad_T,0.5941673737636802,0.34984535429448743,1.6983714846289804,6,0.14035483858998798,0.33788038593143677,NA,0,0
P52208,gnd,No,ATPbroad_T,0.3140565451443338,0.0783960042281947,4.006027453008696,6,0.00707028736494042,0.0784725353203613,NA,0,0
Q55162,NA,No,ATPbroad_T,-0.8095201465473925,0.32221205492561766,-2.512383178010734,6,0.045755595752918765,0.20899587514045298,NA,0,0
P74752,NA,No,ATPbroad_T,-0.06622297600672496,0.048266432199861105,-1.372029648524871,6,0.21914039207880398,0.4129375573682825,NA,0,0
P72761,ccmK2,No,ATPbroad_T,-0.035630738511674136,0.11950643681869323,-0.2981491161495392,6,0.7756444987534967,0.8616677879324135,NA,0,0
P74396,NA,No,ATPbroad_T,0.15159430885252814,0.09473132661416325,1.6002553143794285,6,0.16065968106967277,0.35774225355645806,NA,0,0
P77969,hemB,No,ATPbroad_T,-0.1617885269828101,0.11203491040922915,-1.4440902964249827,6,0.19882882714312466,0.39218466390034773,NA,0,0
P72661,me,No,ATPbroad_T,0.3994805993480101,0.1304639273522243,3.0620004123400264,6,0.02216808632106737,0.14342484764353225,NA,0,0
P73954,NA,No,ATPbroad_T,-1.0027618302210093,0.3816180000570735,-2.6276586273997546,6,0.039182241545170804,0.2013479780837964,NA,0,0
P22034,groEL2,No,ATPbroad_T,0.07798722816047211,0.2149891525056362,0.3627495957426391,6,0.7292278518568311,0.8322961879853737,NA,0,0
P77972,eno,No,ATPbroad_T,-0.027191751972748774,0.07927372791268315,-0.34301089009841196,6,0.7432887739421024,0.8438606165050929,NA,0,0
P54691,ilvE,No,ATPbroad_T,0.2714881294688529,0.12184386140394825,2.2281641958866514,6,0.0674360239776104,0.2533549890507465,NA,0,0
P72639,NA,No,ATPbroad_T,-0.03649789697257067,0.06255599227355192,-0.583443658170564,6,0.5808477259890612,0.7237240410072668,NA,0,0
P73942,proS,No,ATPbroad_T,0.15095779490511435,0.0920711522294913,1.6395775576789302,6,0.1522043739247665,0.35230064136896383,NA,0,0
Q55517,NA,No,ATPbroad_T,-0.2007323016745312,0.04872589813685041,-4.11962240512754,6,0.006218875389395251,0.07317120841380663,NA,0,0
Q54715,cpcA,No,ATPbroad_T,0.43987194416036396,0.5083571181274948,0.865281371057826,6,0.42013033614655804,0.5844818407012997,NA,0,0
P74258,ggpS,No,ATPbroad_T,0.20198153307102257,0.07874335942282522,2.565061162636585,6,0.042617313883005936,0.20569202028710556,NA,0,0
P49433,gap1,No,ATPbroad_T,-0.025856847571638857,0.04235283133421415,-0.6105104843545787,6,0.5639179873874705,0.7091356109839979,NA,0,0
P54205,cbbL,No,ATPbroad_T,0.14386004891884865,0.11185114753725134,1.2861740991163004,6,0.24578186164396576,0.43273724492724464,NA,0,0
P73790,NA,No,ATPbroad_T,0.0607071653182169,0.06519661436811361,0.9311398437877717,6,0.3877131334446644,0.5536159059686302,NA,0,0
Q01952,apcB,No,ATPbroad_T,0.08708471309098365,0.3846913098259935,0.22637556624394367,6,0.8284242870559453,0.8956927504527742,NA,0,0
Q55484,lysA,No,ATPbroad_T,-0.07460224080741523,0.07331527432692932,-1.0175538657162633,6,0.34815230462761027,0.5311300783665531,NA,0,0
Q55393,dfa1,No,ATPbroad_T,-0.22092407749947174,0.03774725988018357,-5.852718268841859,6,0.0010984414185388758,0.030249386756685967,NA,0,0
P77961,glnA,No,ATPbroad_T,-0.3367024235368265,0.0795909316753633,-4.2304118880046975,6,0.005497637390915244,0.06709616543003379,NA,0,0
Q55511,tig,No,ATPbroad_T,-0.05663688681462255,0.05607354003341761,-1.010046570644001,6,0.35145655482534455,0.532542930330365,NA,0,0
P74283,NA,No,ATPbroad_T,0.04735157927598234,0.09400044359241497,0.5037378278904548,6,0.6324023567584796,0.7648650125659989,NA,0,0
P73853,guaB,No,ATPbroad_T,-0.1196251923510262,0.09056237475627918,-1.3209149238076041,6,0.23467095396387982,0.4264578757313146,NA,0,0
P74281,NA,No,ATPbroad_T,0.028393868983566124,0.06762815761121826,0.41985276527562987,6,0.6892121778274132,0.8037067089974396,NA,0,0
P72870,apcD,No,ATPbroad_T,-0.4933420989056155,0.13027446901359685,-3.786943847409771,6,0.009105928548913234,0.08998456032509781,NA,0,0
Q05972,groEL1,No,ATPbroad_T,-0.21906581291902727,0.10395747235269034,-2.1072637489281743,6,0.07967358310235473,0.2716489785775523,NA,0,0
Q55664,fbaA,No,ATPbroad_T,-0.11653115921531704,0.06908708571139476,-1.6867285400069665,6,0.14262832845220075,0.33890005477359203,NA,0,0
