Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
P73560,gcvH,No,ATPnarrow_T,-0.4589672442636139,0.18406816144491223,-2.4934635118902584,6,0.04694161516487094,0.13310917627053953,NA,0,0
P80505,gap2,No,ATPnarrow_T,0.666951303539998,0.11983838109550768,5.565423176139682,6,0.0014256101627405648,0.02185226324081433,NA,0,0
P73312,rpmC,No,ATPnarrow_T,-0.3197046223838333,0.11782792472871527,-2.7133179432627283,6,0.03495162485015513,0.11674103522545508,NA,0,0
P37101,prk,No,ATPnarrow_T,1.4916148429161702,0.08778915002867438,16.99087919667712,6,2.6579803444892747e-6,2.729745813790485e-4,NA,0,0
Q01951,apcA,No,ATPnarrow_T,-0.697276277451525,0.27348473658322003,-2.549598512015486,6,0.043514152457607924,0.1289067627352376,NA,0,0
P73654,NA,No,ATPnarrow_T,-0.8038556951428151,0.3608818368669606,-2.22747617924356,6,0.06749989085619035,0.1629070543872534,NA,0,0
P74227,tuf,No,ATPnarrow_T,-0.01239501293810835,0.08808767134010077,-0.14071223304623426,6,0.8927024779345811,0.9260661058977927,NA,0,0
P73282,tktA,No,ATPnarrow_T,0.0823168560749289,0.05407718560602448,1.52221043222631,6,0.17878170935604842,0.3119724720833616,NA,0,0
P73411,zwf,No,ATPnarrow_T,0.1229432515743538,0.025132341981033923,4.891834261491934,6,0.002733330191089234,0.03119033451387381,NA,0,0
P74720,NA,No,ATPnarrow_T,0.32129007387732633,0.14084550427133385,2.281152497834595,6,0.06270049710028314,0.15744110152075985,NA,0,0
P22358,dnaK2,No,ATPnarrow_T,0.5025467372135126,0.07817733685445266,6.4282918481750455,6,6.697366760106682e-4,0.015284879250287917,NA,0,0
P73128,sqdB,No,ATPnarrow_T,0.4208241547324352,0.07810530497437769,5.387907452259303,6,0.001683012780770765,0.02434442430776867,NA,0,0
P55038,gltS,No,ATPnarrow_T,0.261932678900747,0.040607839861338854,6.45029826248214,6,6.576384602721141e-4,0.015284879250287917,NA,0,0
P73546,glgP,No,ATPnarrow_T,0.24801827828027545,0.06543483209244799,3.7903096920898176,6,0.009070094307309207,0.061735327497221555,NA,0,0
P73458,prc,No,ATPnarrow_T,-0.005222342674112608,0.04096870693377041,-0.12747150361750478,6,0.9027321236884958,0.9334704084401212,NA,0,0
P73825,phaA,No,ATPnarrow_T,0.08129204540118086,0.3121950917440704,0.26038860812014947,6,0.8032697578601673,0.8593312930441581,NA,0,0
Q55629,NA,No,ATPnarrow_T,0.07776680339238105,0.07857122900269384,0.9897618298641453,6,0.3605102334602337,0.4866854329406399,NA,0,0
P73129,NA,No,ATPnarrow_T,0.2151108456162939,0.6869132200708621,0.3131557805716755,6,0.7647622059276258,0.8284923897549279,NA,0,0
P52208,gnd,No,ATPnarrow_T,0.315731829329137,0.10940430426742484,2.8859178022591405,6,0.02784160325758922,0.10339580820809229,NA,0,0
Q55162,NA,No,ATPnarrow_T,-0.6905542277306326,0.22765631018348736,-3.033319072834207,6,0.02299953354419637,0.09478979213965343,NA,0,0
P74752,NA,No,ATPnarrow_T,0.20489217213438699,0.10209406163399695,2.006896080488178,6,0.09154736571710265,0.19502683258725223,NA,0,0
P72761,ccmK2,No,ATPnarrow_T,-0.1251098136292346,0.07753450126488534,-1.6136018364497517,6,0.15774071552104285,0.2872335369505514,NA,0,0
P74396,NA,No,ATPnarrow_T,0.3513332124066621,0.0915796626038467,3.836367184780442,6,0.008595186475342187,0.061735327497221555,NA,0,0
P77969,hemB,No,ATPnarrow_T,-0.1434667867945445,0.08047163982395343,-1.7828241987910844,6,0.12488744145759068,0.24291553480482125,NA,0,0
P72661,me,No,ATPnarrow_T,0.5763483167273542,0.16807495995282612,3.429114705064448,6,0.013986363881217212,0.0767733343373668,NA,0,0
P73954,NA,No,ATPnarrow_T,-1.0057811275715136,0.24428925613155136,-4.117172991962831,6,0.006235976969894974,0.05065817570201423,NA,0,0
